# word	per_million
# Source: Google Books Ngram Viewer 1-gram English dataset (20120701),
# https://books.google.com/ngrams/info -- freely usable, no share-alike.
# Regenerate with scripts/build_english_frequency.py. Top 15000 words
# by total occurrence across a corpus of 378277505813 tokens.
class	255.9211
became	254.8139
perhaps	254.4932
london	254.2900
policy	253.0270
members	252.3836
al	250.2142
local	249.7699
enough	249.7479
particular	249.3125
rate	249.1871
air	247.1823
along	246.5547
mother	246.3435
knowledge	245.0749
face	244.1920
word	244.0040
kind	243.9131
open	243.5555
terms	242.4601
able	241.6049
money	241.5279
experience	241.4361
conditions	241.3703
support	241.2850
la	240.6727
problems	240.6081
real	239.9895
black	239.9581
language	238.6944
results	238.1322
room	237.4742
force	237.3472
held	236.7016
low	236.4990
according	236.3542
usually	236.2523
north	236.1373
show	235.9664
night	235.0308
told	234.9047
short	233.7674
field	233.3835
reason	231.0789
asked	229.6533
quite	229.2714
nor	229.2354
health	228.3412
special	228.3353
thing	228.3222
analysis	228.0553
eyes	227.6484
especially	226.2163
lord	223.4764
woman	223.2782
major	223.1718
similar	222.9668
care	222.8255
theory	222.4810
d	221.7243
brought	221.4111
whom	221.2647
office	219.5838
art	219.0521
production	218.9785
sometimes	218.4678
third	217.7680
shown	217.5895
british	217.4887
due	217.0837
international	216.2336
began	215.7972
single	215.7200
natural	215.4955
got	215.4309
account	215.1524
cause	214.3766
community	214.2614
saw	213.2707
heart	213.1433
soon	212.3818
changes	212.1966
studies	211.1842
groups	210.7171
method	210.2332
evidence	209.8376
seems	209.5294
greater	208.8581
required	208.5378
trade	208.2260
foreign	206.0109
west	205.8297
clear	205.4717
model	205.4169
near	204.8161
e	204.6466
students	204.3982
probably	203.9524
french	203.6758
gave	203.4562
including	203.2907
read	203.0217
england	202.6247
material	202.5166
term	202.2012
past	201.4402
report	200.4804
considered	200.3094
future	199.7227
higher	199.2955
structure	199.0630
fig	198.7657
available	198.3173
working	197.7416
felt	196.0103
tell	195.8434
amount	195.4317
really	194.8582
function	194.8458
keep	194.8374
indeed	194.6471
growth	194.3439
market	194.2961
non	193.5821
increase	193.1943
personal	193.1280
cost	193.1224
mean	192.9973
surface	192.5544
knew	192.5083
idea	192.1962
lower	191.9442
note	191.8851
program	191.5839
treatment	191.5039
six	190.9446
food	190.5199
close	190.3709
t	190.3252
systems	190.1356
blood	190.0277
population	189.9751
central	189.6826
character	189.4146
president	189.3211
energy	188.3773
property	187.9132
living	187.1633
provide	187.1044
specific	186.8515
science	186.7019
return	186.4835
practice	185.9786
hands	185.9693
role	185.8276
countries	185.5530
management	185.5290
toward	185.4780
son	185.3994
says	185.2954
generally	184.8399
influence	184.5637
purpose	184.1605
america	183.9005
received	183.8333
strong	183.6607
call	183.5319
services	183.4590
rights	183.4451
current	183.1335
m	183.0235
believe	182.4717
effects	182.2707
letter	182.0711
x	181.8251
looked	181.7218
story	180.7999
forms	180.3802
seemed	180.2116
ground	179.9868
main	179.4523
paper	179.2153
works	178.4282
areas	178.3633
modern	178.3362
provided	178.3044
moment	178.2272
written	178.1846
situation	177.9257
turn	177.7871
feet	177.5795
plan	177.0468
parts	176.9431
values	176.0791
movement	176.0599
private	175.0803
late	174.6868
size	174.0224
union	173.8946
described	173.8684
east	173.4709
test	173.4530
difficult	172.5950
feel	171.1922
river	170.5762
poor	170.3693
attention	170.1152
books	170.0932
town	169.5166
space	169.1120
o	168.5658
price	168.3487
turned	167.9659
rule	167.6115
percent	167.5673
activity	167.1013
across	166.5054
play	166.3449
building	166.3402
anything	166.3300
physical	166.2907
capital	166.1953
n	165.6812
hard	165.5601
makes	165.5359
sea	165.3593
cent	165.3167
approach	165.2663
pressure	164.9588
finally	164.9086
military	164.8546
middle	164.7018
sir	164.1027
longer	164.0510
spirit	163.5660
continued	163.4552
basis	163.1367
army	162.9887
red	162.5775
alone	162.4346
simple	162.3973
below	162.1413
series	162.1138
source	161.9292
increased	161.9134
sent	161.7743
particularly	160.5107
earth	160.3780
months	160.1540
department	160.1472
heard	160.0075
questions	159.9005
likely	159.6167
